Rank,Country,January,February,March,April,May,June,July,August,September,October,Jan-Oct Total,% Share,RankingType
1,SOUTH KOREA,126263,126692,106744,94217,98433,116414,139528,134346,113772,114089,1170498,26.33,Ranking by Country of Residence
2,UNITED STATES OF AMERICA,87440,85917,80284,75830,71249,93597,85918,52452,50188,59420,742295,16.70,Ranking by Country of Residence
3,JAPAN,15178,23013,26356,23655,21179,19676,27148,38929,27866,24674,247674,5.57,Ranking by Country of Residence
4,CHINA,9648,14904,19281,25076,18071,21818,33874,31656,25355,23728,223411,5.03,Ranking by Country of Residence
5,AUSTRALIA,23731,20723,23715,26966,19054,19837,19007,15661,19833,18839,207366,4.66,Ranking by Country of Residence
6,CANADA,24660,23319,22287,20844,17242,12345,18462,13638,12252,15576,180625,4.06,Ranking by Country of Residence
7,TAIWAN,18040,12991,13513,14603,11096,19622,23207,18777,15696,19083,166628,3.75,Ranking by Country of Residence
8,UNITED KINGDOM,12886,12049,17831,15451,10611,9217,17802,11299,7550,10313,125009,2.81,Ranking by Country of Residence
9,SINGAPORE,10020,11403,14433,13762,11602,14104,10616,10621,11701,11370,119632,2.69,Ranking by Country of Residence
10,MALAYSIA,6994,8730,9461,8992,8003,7630,7947,7253,7488,7111,79609,1.79,Ranking by Country of Residence
11,HONG KONG - SAR,9903,4658,6249,11729,5283,5369,5829,5398,5239,6887,66544,1.50,Ranking by Country of Residence
12,INDIA,6490,5381,7027,6189,5296,5338,5987,5922,5553,5321,58504,1.32,Ranking by Country of Residence
13,GERMANY,7282,7775,10015,7513,4434,3325,4628,4520,3631,4878,58001,1.30,Ranking by Country of Residence
14,VIETNAM,4607,5674,6930,6527,6139,6981,6105,5295,4616,4778,57652,1.30,Ranking by Country of Residence
15,INDONESIA,3814,5216,5128,5525,4131,4248,4244,3942,4460,4355,45063,1.01,Ranking by Country of Residence
16,FRANCE,5904,7462,7273,5699,2814,1467,3632,2591,1959,3038,41839,0.94,Ranking by Country of Residence
17,THAILAND,3182,3315,4136,4544,3075,3187,3603,2583,3033,3563,34221,0.77,Ranking by Country of Residence
18,GUAM,2274,2449,3255,2714,2190,3959,3966,2151,2352,3093,28403,0.64,Ranking by Country of Residence
